127.0.0.1 - - [16/Aug/2023:00:02:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:03:04 +0900] "GET /day05/ HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:03:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:04:06 +0900] "GET /day05/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:04:31 +0900] "GET /day05/ HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:04:41 +0900] "GET /day05/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:04:59 +0900] "GET /day05/ HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:06 +0900] "GET /day05/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:17 +0900] "GET /day05/ex01 HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:18 +0900] "GET /day05 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:18 +0900] "GET /day05/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:44 +0900] "GET /day05 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:05:44 +0900] "GET /day05/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:06:14 +0900] "GET /day05/ex01 HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:06:42 +0900] "GET /day05/ex02 HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:15:46 +0900] "GET /day05/ex03/test HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [16/Aug/2023:00:27:42 +0900] "GET /day05/ex04/test HTTP/1.1" 200 885
